'Erdos960.erdos960_unconditional' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.curveModelAssumption' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Nodal.curveModel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Nodal.collinear_emb_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Nodal.emb_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Nodal.det3_Pt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Nodal.collinear_iff_det2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Nodal.collinear_chart_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Nodal.Pt_mem_cubic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Nodal.sin_ang_eq_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.erdos960' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.erdos960_of_curveModelAssumption' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.exists_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.bound_at_72' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.bound_pos_at_72' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.construction_at_72' depends on axioms: [propext]
'Erdos960.construction_clears_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.decomp_at_72' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.decomp_at_73' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.construction_at_73' depends on axioms: [propext]
'Erdos960.bound_at_73_lt_construction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ordValues_nonempty_of_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.F_ne_neg_one_of_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.F_ne_neg_one_of_erdos960_hyps' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.IsLine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ptsOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ptsOn_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ptsOn_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.line_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.collinear_coe_of_isLine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.IsLine.eq_line_of_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ordinaryLine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ordinaryLines' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.mem_ordinaryLines' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ptsOn_eq_pair_of_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ordinaryLine.exists_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ptsOn_injOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ordinaryLines_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ord' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ord_le_choose' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ordGraph' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ordGraph_adj_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.lineOfEdge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.lineOfEdge_mk' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ptsOn_line_eq_pair_of_adj' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.edge_eq_of_line_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.card_edgeFinset_ordGraph' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.cliqueFree_of_isBipartite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.NoKCollinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ordValues' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ordValues_bddAbove' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.F' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.F_eq_sSup' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.F_eq_neg_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.F_eq_of_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.le_F' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.card_edgeFinset_eq_ncard' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.ordPairs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.mem_ordPairs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.card_ordPairs_eq_two_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.card_filter_ordAdj_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.edgeCount_eq_ord' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.HasCyclicSubgroupOfOrder' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.zmod_hasCyclicSubgroup' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.addCircle_hasCyclicSubgroup' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.CurveModel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.third' depends on axioms: [propext]
'Erdos960.sum_third' depends on axioms: [propext]
'Erdos960.third_eq_iff' depends on axioms: [propext]
'Erdos960.CurveModel.pts' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.CurveModel.card_pts' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.CurveModel.emb_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.CurveModel.mem_pts' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.CurveModel.mem_line_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.CurveModel.no_four_collinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.CurveModel.ordinaryLine_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.CurveModel.noKCollinear_pts' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.CurveModelAssumption' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.E' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.E_Δ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.E_Δ_eq_sixteen_mul_paper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.paper_discriminant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.E_Δ_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.E_nonsingular' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.E_equation_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.lineCubic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.lineCubic_eval' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.lineCubic_natDegree_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.lineCubic_coeff_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.lineCubic_coeff_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.lineCubic_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.Concrete.card_le_three_of_line' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos960.resid' depends on axioms: [propext, Quot.sound]
'Erdos960.C' depends on axioms: [propext, Classical.choice, Quot.sound]
